"SA51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"Per capita disposable personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"36000","New York",1595,1576,1690,1774,1802,1885,1935,2043,2145,2241,2309,2417,2498,2564,2666,2752,2959,3104,3291,3500,3811,3912,4243,4578,4848,5221,5641,6194,6544,7085,7745,8451,9405,10375,11214,12243,13561,14393,15308,16151,17884,19180,20648,20650,21718,22064,22666,23789,24722,25829,26694,27720,29302,29729,31000,32171,33900,35200,37301,39574,40786,41395,42563,43951,45832,44892,46266,47590
"37000","North Carolina",947,926,1036,1135,1160,1209,1242,1307,1369,1349,1432,1487,1523,1582,1672,1741,1883,1992,2185,2336,2513,2763,2998,3227,3536,3965,4282,4701,5096,5484,6083,6592,7267,8086,8695,9356,10469,11131,11857,12505,13619,14566,15309,15785,16980,17705,18403,19256,20126,21091,22108,23022,24200,24813,25327,26082,27724,28752,29935,30905,31852,31805,32322,32886,34870,33687,34927,36049
"38000","North Dakota",1361,1159,1320,1377,1251,1272,1322,1449,1501,1542,1792,1624,1766,1597,2271,2075,2052,2404,2424,2490,2619,2895,3091,3576,4219,5883,5643,5911,5727,5941,7418,7575,7092,9240,10083,10586,11373,11836,12202,12644,11680,13330,14643,14830,16287,16327,17684,17543,19634,19110,21103,21370,23356,23870,24838,27239,27413,28797,29791,32636,36803,36114,39138,42853,49423,48039,48999,47515
"39000","Ohio",1403,1343,1485,1643,1694,1786,1782,1875,1955,2012,1977,2089,2145,2172,2262,2339,2509,2664,2858,2966,3201,3433,3638,3908,4170,4617,5044,5440,5935,6519,7171,7862,8631,9337,9915,10548,11718,12414,13030,13503,14498,15480,16366,16646,17673,18248,19129,19873,20590,21672,22780,23540,24681,25446,26245,27223,28299,28973,30422,31374,32414,32235,32842,34693,36095,36253,37558,38449
"40000","Oklahoma",1055,1109,1082,1205,1301,1376,1373,1428,1494,1548,1696,1745,1792,1813,1852,1907,2055,2208,2342,2517,2722,2948,3248,3512,3742,4221,4559,5100,5475,5958,6585,7474,8351,9435,10101,10407,11280,11812,12200,12147,12846,13693,14264,14710,15525,15994,16534,17110,17858,18529,19513,20098,21901,23515,24198,25069,26411,27919,30018,30804,33753,31722,32995,35402,37749,37911,39370,39787
"41000","Oregon",1490,1484,1529,1649,1709,1732,1704,1811,1867,1878,1899,2022,2057,2137,2223,2279,2427,2590,2729,2881,3067,3248,3533,3827,4161,4610,5096,5640,6175,6624,7360,8070,8773,9421,9696,10440,11329,11807,12343,12911,14029,14915,15871,16242,17010,17780,18615,19668,20707,21445,22498,23121,24681,25397,25857,26694,28002,28396,30126,31265,32173,31875,32087,33219,34657,34481,35956,37222
"42000","Pennsylvania",1308,1295,1432,1541,1587,1687,1655,1728,1848,1949,1955,2014,2063,2109,2193,2258,2424,2568,2738,2928,3139,3365,3627,3868,4127,4555,4986,5521,6004,6554,7209,7929,8707,9549,10296,10937,11837,12602,13281,13953,15119,16302,17243,17942,18830,19441,19967,20759,21667,22602,23698,24675,26369,27359,28483,29597,31108,31906,33812,35201,36715,36865,37735,39232,40930,40768,42135,43206
"44000","Rhode Island",1307,1302,1457,1583,1617,1715,1745,1816,1863,1891,1971,2083,2107,2191,2330,2412,2576,2752,2965,3192,3401,3550,3846,4019,4270,4549,4871,5424,5840,6368,6875,7571,8637,9586,10334,11164,12283,13093,13874,14562,16056,17418,17814,17905,18794,19524,19957,21014,21564,22523,23849,24651,26056,27275,28944,30508,31807,32514,34330,35862,37111,37347,38746,39582,41415,40993,42910,44201
"45000","South Carolina",876,836,889,1083,1140,1188,1134,1189,1216,1246,1278,1338,1378,1435,1518,1583,1704,1860,2050,2198,2394,2638,2905,3112,3359,3743,4127,4514,4904,5254,5818,6351,7020,7749,8249,8890,9834,10404,10993,11601,12567,13407,14208,14649,15435,16019,16760,17464,18255,19032,20085,20858,22209,22904,23696,24463,25631,26536,28013,29054,30215,29982,30232,31179,32331,32014,33058,34129
"46000","South Dakota",1415,1058,1235,1429,1257,1377,1407,1295,1364,1621,1666,1502,1801,1772,1991,1913,1919,2195,2390,2467,2626,2844,3133,3449,3948,4935,4874,5453,5277,6043,6912,7582,7519,8783,9233,9751,11075,11338,11893,12451,12926,13898,15157,15655,16746,17196,18393,18495,20390,20523,22161,23159,24707,25810,26277,28877,30366,30915,30963,34000,36703,36103,37442,40879,41153,40895,41147,40505
