CBSA	Metropolitan_Area_Name	yr	qtr	index_nsa	index_sa	Note
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2006	4	257.56	256.38	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2007	1	251.34	253.34	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2007	2	250.71	248.48	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2007	3	248.94	244.57	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2007	4	241.55	240.27	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2008	1	232.66	234.93	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2008	2	231.81	229.67	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2008	3	229.4	225.09	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2008	4	224.26	223.04	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2009	1	218.83	221.54	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2009	2	222.57	220.13	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2009	3	226.38	221.92	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2009	4	224.2	223.14	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2010	1	216.67	219.78	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2010	2	227.51	224.59	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2010	3	224.91	220.3	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2010	4	219.87	219.1	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2011	1	214.47	217.86	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2011	2	221.96	218.63	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2011	3	224.21	219.58	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2011	4	218.16	217.69	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2012	1	214.19	217.67	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2012	2	226.62	222.89	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2012	3	229.31	224.58	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2012	4	229.51	229.23	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2013	1	234.44	238.3	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2013	2	244.95	240.65	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2013	3	251.06	245.98	"                                                                                               "
15764	"Cambridge-Newton-Framingham, MA  (MSAD)"	2013	4	251.84	251.68	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1991	1	100	100	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1991	2	100.55	100.48	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1991	3	101.02	100.75	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1991	4	101.89	101.55	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1992	1	102.14	102.18	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1992	2	102.49	102.38	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1992	3	103.27	102.99	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1992	4	104.25	103.89	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1993	1	103.85	103.97	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1993	2	104.3	104.11	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1993	3	105.12	104.81	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1993	4	105.9	105.56	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1994	1	108.72	108.92	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1994	2	108.9	108.63	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1994	3	112.07	111.73	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1994	4	113.14	112.78	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1995	1	113	113.24	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1995	2	114.41	114.09	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1995	3	113.98	113.64	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1995	4	115.02	114.66	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1996	1	115.06	115.32	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1996	2	119.03	118.68	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1996	3	120.21	119.88	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1996	4	119.8	119.39	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1997	1	120.57	120.83	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1997	2	121.34	121	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1997	3	124.47	124.14	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1997	4	129.54	129.09	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1998	1	131.45	131.69	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1998	2	133.02	132.68	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1998	3	134.57	134.22	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1998	4	135.92	135.46	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1999	1	136.36	136.57	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1999	2	140.08	139.8	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1999	3	141.36	140.91	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	1999	4	142.76	142.31	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2000	1	145.01	145.25	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2000	2	146.36	146.08	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2000	3	147.93	147.39	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2000	4	148.87	148.45	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2001	1	148.34	148.61	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2001	2	150.39	150.14	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2001	3	151.24	150.55	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2001	4	151.64	151.28	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2002	1	151.55	151.84	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2002	2	152.05	151.82	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2002	3	153.46	152.67	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2002	4	153.04	152.73	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2003	1	153.36	153.65	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2003	2	154.61	154.4	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2003	3	156.45	155.56	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2003	4	157.07	156.82	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2004	1	157.03	157.4	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2004	2	158.65	158.35	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2004	3	161.22	160.19	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2004	4	162.55	162.43	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2005	1	164.44	165	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2005	2	166.54	165.99	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2005	3	168.97	167.77	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2005	4	170.49	170.53	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2006	1	173.09	173.97	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2006	2	177.22	176.23	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2006	3	180.42	179.08	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2006	4	182.2	182.39	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2007	1	183.12	184.4	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2007	2	186.1	184.61	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2007	3	186.34	184.94	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2007	4	181.43	181.73	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2008	1	177.82	179.37	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2008	2	180.76	178.97	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2008	3	175.14	173.8	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2008	4	168.07	168.4	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2009	1	163.24	164.93	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2009	2	165.94	164.04	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2009	3	163.23	161.9	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2009	4	161.9	162.31	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2010	1	158.49	160.35	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2010	2	157.83	155.82	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2010	3	153.17	151.82	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2010	4	151.92	152.43	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2011	1	147.16	149.04	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2011	2	149.25	147.2	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2011	3	149.26	147.83	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2011	4	147.22	147.86	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2012	1	146.32	148.28	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2012	2	152.57	150.36	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2012	3	154.42	152.79	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2012	4	153.15	153.99	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2013	1	155.67	157.86	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2013	2	165.34	162.82	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2013	3	167.12	165.22	"                                                                                               "
16740	"Charlotte-Concord-Gastonia, NC-SC"	2013	4	167.48	168.56	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1991	1	100	100	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1991	2	101.14	100.66	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1991	3	102.4	101.79	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1991	4	103.01	102.75	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1992	1	104.27	104.29	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1992	2	105.87	105.36	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1992	3	106.62	105.99	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1992	4	107.47	107.17	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1993	1	107.43	107.51	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1993	2	109.29	108.74	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1993	3	110.74	110.09	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1993	4	111.02	110.69	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1994	1	112.39	112.51	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1994	2	114.04	113.43	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1994	3	115.13	114.5	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1994	4	116.02	115.6	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1995	1	115.67	115.86	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1995	2	118.3	117.65	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1995	3	118.24	117.56	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1995	4	119.02	118.58	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1996	1	119.12	119.35	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1996	2	120.98	120.34	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1996	3	121.72	121.01	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1996	4	122.1	121.61	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1997	1	122	122.25	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1997	2	123.37	122.78	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1997	3	124.14	123.36	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1997	4	123.75	123.25	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1998	1	124.04	124.22	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1998	2	126.49	125.99	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1998	3	128.42	127.65	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1998	4	130.55	129.93	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1999	1	131.3	131.42	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1999	2	132.71	132.33	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1999	3	136.99	136.14	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	1999	4	139.51	138.81	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2000	1	141.94	142.07	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2000	2	144.58	144.19	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2000	3	147.19	146.28	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2000	4	150.55	149.76	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2001	1	152.49	152.72	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2001	2	155.88	155.4	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2001	3	160.22	159.11	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2001	4	162.38	161.64	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2002	1	163.6	164.02	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2002	2	168.59	167.81	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2002	3	172.32	171.14	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2002	4	175.67	174.98	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2003	1	178.82	179.35	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2003	2	185.12	184.11	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2003	3	186.16	184.85	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2003	4	188.9	188.27	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2004	1	191.27	191.86	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2004	2	197.77	196.62	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2004	3	202.49	201.08	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2004	4	207.24	206.52	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2005	1	211.09	211.78	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2005	2	217.29	216.15	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2005	3	222.78	221.07	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2005	4	226.3	225.29	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2006	1	229.03	230.17	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2006	2	233.73	232.66	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2006	3	235.68	233.51	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2006	4	235.09	233.65	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2007	1	233.89	235.81	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2007	2	231.13	230.26	"                                                                                               "
16974	"Chicago-Naperville-Arlington Heights, IL  (MSAD)"	2007	3	226.33	223.6	"                                                                                               "
